,actual,prediction
0,-5.0516067,-4.672374
1,-5.067433,-4.764654
2,-5.3164477,-4.71894
3,-5.1922565,-4.607921
4,-5.189798,-4.7705503
5,-4.7835097,-4.265499
6,-4.7341084,-4.586264
7,-4.7829905,-4.7645574
8,-4.7841005,-4.6756372
9,-4.772651,-4.730643
10,-4.7161317,-4.544567
11,-4.72298,-4.630804
12,-4.6490793,-4.517237
13,-4.9034643,-4.6005406
14,-4.9067526,-4.5938454
15,-4.8250346,-4.562368
16,-4.812673,-4.641772
17,-4.6568775,-4.339998
18,-4.7121334,-4.7372804
19,-4.744037,-4.7356224
20,-4.8316326,-4.7619114
21,-4.900903,-4.77328
22,-4.515148,-4.1819124
23,-4.5485635,-4.7231107
24,-4.5544057,-4.6690917
25,-4.6098785,-4.485233
26,-4.393072,-4.2336364
27,-4.29556,-4.2999806
28,-4.2773976,-4.6176076
29,-4.2651596,-4.673045
30,-4.4943013,-4.7658916
31,-4.43821,-4.4388213
32,-4.4205465,-4.564924
33,-4.391293,-4.3611794
34,-4.614547,-4.768056
35,-4.8205647,-4.7404656
36,-4.854545,-4.707297
37,-4.8672247,-4.7049823
38,-4.761482,-4.489635
39,-4.5318484,-4.2206945
40,-4.57704,-4.7737966
41,-4.6987524,-4.764708
42,-4.692488,-4.7460976
43,-4.7007484,-4.769362
44,-4.6799145,-4.6334863
45,-4.6317697,-4.5304713
46,-4.7016177,-4.7326665
47,-5.1698565,-4.569572
48,-5.109857,-4.687247
49,-4.7641187,-4.2927113
50,-4.6140037,-4.33563
51,-4.187095,-4.023573
52,-4.1871057,-4.633585
53,-4.196775,-4.614992
54,-4.1299987,-4.301538
55,-4.147741,-4.7586136
56,-4.1501946,-4.712909
57,-4.219521,-4.6773386
58,-4.2830276,-4.752686
59,-4.8647704,-4.737127
60,-4.9057393,-4.731891
61,-4.972619,-4.759132
62,-5.4700847,-4.688286
63,-5.250762,-4.556562
64,-5.2171826,-4.6727977
65,-5.300256,-4.77187
66,-5.280928,-4.7320743
67,-5.213755,-4.658961
68,-5.2285666,-4.7500396
69,-5.070264,-4.5405445
70,-5.122686,-4.7707477
71,-5.209781,-4.6728334
72,-5.2947626,-4.770761
73,-5.0917463,-4.51788
74,-5.118736,-4.773777
75,-5.0897284,-4.6140475
76,-5.086533,-4.7449317
77,-5.1934566,-4.688698
78,-5.151171,-4.7136016
79,-5.1904445,-4.726066
80,-5.1922398,-4.7730966
81,-5.425785,-4.749266
82,-5.4257555,-4.7737527
83,-5.6142907,-4.7418723
84,-5.390818,-4.5876575
85,-5.2270384,-4.5283065
86,-5.180225,-4.6541724
87,-5.217329,-4.773622
88,-5.2100058,-4.763988
89,-5.179293,-4.709579
90,-5.1361794,-4.7137628
91,-5.1440096,-4.753155
92,-5.280005,-4.757894
93,-5.526414,-4.731486
94,-5.7436833,-4.7714334
95,-5.7035475,-4.7556148
96,-5.4184613,-4.5845566
97,-5.4830422,-4.7596087
98,-5.4315915,-4.674435
99,-5.354982,-4.68656
100,-5.323183,-4.7271113
101,-5.367002,-4.7734036
102,-5.3644986,-4.7691355
103,-5.3828897,-4.772225
104,-5.4908214,-4.6706324
105,-5.4041924,-4.6920247
106,-5.537213,-4.7736754
107,-5.5568485,-4.699099
108,-5.632355,-4.770992
109,-5.2598095,-4.491692
110,-4.60435,-4.180605
111,-4.4065228,-4.253878
112,-4.4175787,-4.7389655
113,-4.430948,-4.77266
114,-4.4308653,-4.7731853
115,-4.4403415,-4.754974
116,-4.4177966,-4.6363034
117,-4.4209285,-4.507546
118,-4.4290695,-4.187532
119,-4.5733314,-4.511889
120,-4.5781174,-4.760288
121,-4.347161,-4.214299
122,-4.334915,-4.6859503
123,-4.306572,-4.5491657
124,-4.3117013,-4.6752515
125,-4.327588,-4.6127143
126,-4.580333,-4.7334704
127,-4.5878158,-4.5391326
128,-4.5544477,-4.610228
129,-4.7753525,-4.367307
130,-4.7684298,-4.665118
131,-4.8063703,-4.6553893
132,-4.7105002,-4.412789
133,-4.657639,-4.4480543
134,-4.6545186,-4.7216334
135,-4.718373,-4.760725
136,-4.6323066,-4.3651853
137,-4.734688,-4.669518
138,-4.760122,-4.7455077
139,-4.6767383,-4.4109435
140,-4.7991314,-4.7736115
141,-4.9342656,-4.7604527
142,-4.9583583,-4.7727904
143,-4.963261,-4.770837
144,-5.213422,-4.699634
145,-5.2238274,-4.6823335
146,-4.0655737,-3.8120344
147,-4.095902,-4.739491
148,-4.0939736,-4.751144
149,-4.016787,-4.258779
150,-4.0151777,-4.750831
151,-3.9890656,-4.4326086
152,-3.9928565,-4.754023
153,-3.7000303,-3.8062518
154,-3.9285054,-4.272619
155,-3.8792114,-4.274849
156,-3.8783991,-4.7365613
157,-3.93157,-4.692343
158,-3.8546429,-4.205273
159,-3.8480616,-4.3593917
160,-3.8488026,-4.7681603
161,-4.2850637,-4.5466027
162,-4.366405,-4.497071
163,-4.3621173,-4.270398
164,-4.367586,-4.773708
165,-4.378389,-4.764535
166,-4.2718263,-4.09434
167,-4.3161693,-4.626736
168,-4.297628,-4.626736
169,-4.2769456,-4.412152
170,-4.1905956,-4.249285
171,-4.290052,-4.7361746
172,-4.0857534,-4.1170897
173,-4.0765047,-4.65373
174,-4.217106,-4.310154
175,-3.9937294,-4.029232
176,-3.8480425,-4.0420117
