,actual,prediction
0,-5.0516067,-4.6734333
1,-5.067433,-4.768571
2,-5.3164477,-4.7214403
3,-5.1922565,-4.6075807
4,-5.189798,-4.7746496
5,-4.7835097,-4.2875795
6,-4.7341084,-4.5871468
7,-4.7829905,-4.7684712
8,-4.7841005,-4.676797
9,-4.772651,-4.733506
10,-4.7161317,-4.5426846
11,-4.72298,-4.630575
12,-4.6490793,-4.511654
13,-4.9034643,-4.6006174
14,-4.9067526,-4.5943
15,-4.8250346,-4.562895
16,-4.812673,-4.641883
17,-4.6568775,-4.341984
18,-4.7121334,-4.740349
19,-4.744037,-4.73864
20,-4.8316326,-4.7657433
21,-4.900903,-4.777464
22,-4.515148,-4.2075076
23,-4.5485635,-4.7257404
24,-4.5544057,-4.670049
25,-4.6098785,-4.4753165
26,-4.393072,-4.2559905
27,-4.29556,-4.317715
28,-4.2773976,-4.616969
29,-4.2651596,-4.6741247
30,-4.4943013,-4.769846
31,-4.43821,-4.430089
32,-4.4205465,-4.5657964
33,-4.391293,-4.3590193
34,-4.614547,-4.7720776
35,-4.8205647,-4.743633
36,-4.854545,-4.7094374
37,-4.8672247,-4.707051
38,-4.761482,-4.4803147
39,-4.5318484,-4.24386
40,-4.57704,-4.777996
41,-4.6987524,-4.768626
42,-4.692488,-4.7494397
43,-4.7007484,-4.773424
44,-4.6799145,-4.633341
45,-4.6317697,-4.5266795
46,-4.7016177,-4.735593
47,-5.1698565,-4.5710745
48,-5.109857,-4.6887655
49,-4.7641187,-4.311569
50,-4.6140037,-4.340453
51,-4.187095,-4.057969
52,-4.1871057,-4.6334414
53,-4.196775,-4.614273
54,-4.1299987,-4.3190317
55,-4.147741,-4.762343
56,-4.1501946,-4.7152233
57,-4.219521,-4.6785507
58,-4.2830276,-4.7562323
59,-4.8647704,-4.7401915
60,-4.9057393,-4.7347927
61,-4.972619,-4.762877
62,-5.4700847,-4.6898375
63,-5.250762,-4.556302
64,-5.2171826,-4.6738696
65,-5.300256,-4.7760105
66,-5.280928,-4.7349815
67,-5.213755,-4.659604
68,-5.2285666,-4.753504
69,-5.070264,-4.5381165
70,-5.122686,-4.7748537
71,-5.209781,-4.673906
72,-5.2947626,-4.774867
73,-5.0917463,-4.5123835
74,-5.118736,-4.777977
75,-5.0897284,-4.6133614
76,-5.086533,-4.7482376
77,-5.1934566,-4.690262
78,-5.151171,-4.715937
79,-5.1904445,-4.7287874
80,-5.1922398,-4.777274
81,-5.425785,-4.7527065
82,-5.4257555,-4.7779512
83,-5.6142907,-4.745083
84,-5.390818,-4.588461
85,-5.2270384,-4.524222
86,-5.180225,-4.6546674
87,-5.217329,-4.777817
88,-5.2100058,-4.7678833
89,-5.179293,-4.7117906
90,-5.1361794,-4.7161036
91,-5.1440096,-4.7567153
92,-5.280005,-4.761601
93,-5.526414,-4.7343755
94,-5.7436833,-4.7755594
95,-5.7035475,-4.7592516
96,-5.4184613,-4.585535
97,-5.4830422,-4.7633686
98,-5.4315915,-4.675557
99,-5.354982,-4.688058
100,-5.323183,-4.729865
101,-5.367002,-4.7775908
102,-5.3644986,-4.7731915
103,-5.3828897,-4.7763767
104,-5.4908214,-4.6716366
105,-5.4041924,-4.6936913
106,-5.537213,-4.7778716
107,-5.5568485,-4.700986
108,-5.632355,-4.775105
109,-5.2598095,-4.48265
110,-4.60435,-4.206282
111,-4.4065228,-4.276002
112,-4.4175787,-4.7420864
113,-4.430948,-4.776825
114,-4.4308653,-4.777366
115,-4.4403415,-4.758591
116,-4.4177966,-4.636244
117,-4.4209285,-4.5006504
118,-4.4290695,-4.2127748
119,-4.5733314,-4.505582
120,-4.5781174,-4.7640686
121,-4.347161,-4.2378654
122,-4.334915,-4.6874294
123,-4.306572,-4.547905
124,-4.3117013,-4.6763988
125,-4.327588,-4.6121035
126,-4.580333,-4.736421
127,-4.5878158,-4.5365133
128,-4.5544477,-4.609758
129,-4.7753525,-4.367481
130,-4.7684298,-4.6659517
131,-4.8063703,-4.655921
132,-4.7105002,-4.4070554
133,-4.657639,-4.437999
134,-4.6545186,-4.7242174
135,-4.718373,-4.7645197
136,-4.6323066,-4.364649
137,-4.734688,-4.6704884
138,-4.760122,-4.7488313
139,-4.6767383,-4.405721
140,-4.7991314,-4.777806
141,-4.9342656,-4.764239
142,-4.9583583,-4.776959
143,-4.963261,-4.774945
144,-5.213422,-4.701537
145,-5.2238274,-4.6837
146,-4.0655737,-3.8910787
147,-4.095902,-4.742628
148,-4.0939736,-4.7546425
149,-4.016787,-4.280885
150,-4.0151777,-4.754319
151,-3.9890656,-4.424767
152,-3.9928565,-4.7576113
153,-3.7000303,-3.8846679
154,-3.9285054,-4.2946725
155,-3.8792114,-4.296564
156,-3.8783991,-4.7396083
157,-3.93157,-4.6940203
158,-3.8546429,-4.229404
159,-3.8480616,-4.3564024
160,-3.8488026,-4.7721853
161,-4.2850637,-4.5449953
162,-4.366405,-4.4887576
163,-4.3621173,-4.2924604
164,-4.367586,-4.7779055
165,-4.378389,-4.768449
166,-4.2718263,-4.133029
167,-4.3161693,-4.626381
168,-4.297628,-4.626381
169,-4.2769456,-4.4065948
170,-4.1905956,-4.271426
171,-4.290052,-4.739209
172,-4.0857534,-4.1519957
173,-4.0765047,-4.654211
174,-4.217106,-4.326317
175,-3.9937294,-4.0643167
176,-3.8480425,-4.080404
177,-3.7617962,-4.130902
178,-3.8071542,-4.7045717
179,-3.8087082,-4.772358
180,-3.9137387,-4.743149
181,-3.9016595,-4.4576464
182,-3.931254,-4.597161
183,-4.1227355,-4.6279163
184,-4.4211273,-4.6922174
185,-5.046767,-4.7497807
186,-5.0501657,-4.710636
187,-4.9678426,-4.6132874
188,-4.609714,-4.2653465
189,-4.18295,-4.026697
190,-4.0601254,-4.206765
191,-4.046842,-4.468052
192,-4.042168,-4.6301026
193,-3.985464,-4.3067923
194,-3.9515393,-4.338962
195,-3.9530826,-4.6378794
196,-3.9418025,-4.2415724
197,-4.023031,-4.157597
198,-4.0336995,-4.2255754
199,-4.0487633,-4.65604
200,-4.0426245,-4.5542555
201,-4.0913095,-4.5708942
202,-4.1427402,-4.777152
203,-4.145376,-4.666583
204,-4.262109,-4.596243
205,-4.4968066,-4.4167204
206,-4.2330046,-4.0143456
207,-4.220343,-4.5455003
208,-4.2432146,-4.757734
209,-4.26741,-4.7778506
210,-4.226294,-4.435338
211,-4.235367,-4.7496524
212,-4.1883106,-4.33417
213,-4.2290955,-4.775929
214,-4.7923017,-4.578326
215,-4.879649,-4.777852
216,-4.8542013,-4.6924405
217,-4.6743093,-4.3416944
218,-4.7625847,-4.717656
219,-4.5064597,-4.2717056
220,-4.316894,-4.1754494
221,-4.1964974,-4.276403
222,-4.188025,-4.501641
223,-4.1513815,-4.4257903
224,-4.155525,-4.7367234
225,-4.2053795,-4.713109
226,-4.2026253,-4.691051
227,-4.324441,-4.7395334
228,-4.6340566,-4.6833177
229,-4.9951634,-4.777794
230,-5.1376777,-4.7373877
231,-5.303258,-4.609495
232,-5.2912765,-4.7237244
233,-5.3541636,-4.777991
234,-5.2781377,-4.611762
235,-5.292086,-4.755039
236,-5.3339977,-4.7273874
237,-5.3253646,-4.7690163
238,-5.2878056,-4.697383
239,-5.465242,-4.7742176
240,-5.5341167,-4.77361
241,-5.43677,-4.70539
242,-5.522397,-4.6761417
243,-5.552937,-4.7755275
244,-5.636836,-4.7776384
245,-5.5030537,-4.684638
246,-5.602469,-4.7621913
247,-5.403038,-4.6298184
248,-5.390077,-4.762081
249,-5.4587827,-4.763235
250,-5.5149055,-4.7178373
251,-5.296014,-4.5853853
252,-5.2768464,-4.7563868
253,-5.187909,-4.577977
254,-5.1170874,-4.6594715
255,-5.194252,-4.741048
256,-5.188876,-4.754875
257,-5.197689,-4.7750063
258,-5.227038,-4.755575
259,-5.4083285,-4.772576
260,-5.433814,-4.777974
261,-5.762632,-4.7735786
262,-5.9677014,-4.7314253
263,-6.016506,-4.7542453
264,-5.9228106,-4.728348
265,-5.849626,-4.7505364
266,-5.761612,-4.720986
267,-4.9845243,-4.310282
268,-4.9797664,-4.76828
269,-4.980243,-4.7745543
270,-4.997608,-4.7663307
271,-5.0015097,-4.7619224
272,-5.0225496,-4.768732
273,-5.0295715,-4.7636404
274,-4.933259,-4.5317817
275,-5.353899,-4.61217
276,-5.099672,-4.4614305
277,-4.218103,-3.9592636
278,-4.2090807,-4.6808305
279,-4.2055316,-4.7278633
280,-4.1863766,-4.583509
281,-4.187598,-4.775848
282,-4.205582,-4.700492
283,-4.172755,-4.3647566
284,-4.1984406,-4.7047453
285,-4.986691,-4.758715
286,-4.6950903,-4.2975426
287,-4.633984,-4.503013
